dwr3id,nws5id,river
NLS,NLSC1,Eel
PET,PTFC1,Trinity
RRM,RRMC1,Trinity
BNK,BNKC1,Trinity
SHM,SHMC1,Trinity
MB3,MDBC1,Trinity
HIG,HIGC1,Trinity
SCT,SCMC1,Trinity
MUM,MUMC1,Trinity
BFL,BFLC1,Trinity
CWF,CRWC1,Trinity
CDP,CDRC1,Sacramento 
BLA,BLXC1,Sacramento
SDF,SDFC1,Sacramento
MED,MDCC1,Sacramento
ADM,ADMC1,Sacramento
SNM,SNWC1,Sacramento
SLT,SLTC1,Sacramento
STM,STMC1,Sacramento
LLP,LLPC1,Feather
KTL,KRKC1,Feather
GRZ,GRZC1,Feather
PLP,PLPC1,Feather
GOL,GDLC1,Feather
HMB,HMGC1,Feather
HRK,HRKC1,Feather
RTL,RTLC1,Feather
BKL,BKLC1,Feather
FOR,FRTC1,Feather
MDW,MELC1,Yuba
RCC,RCWC1,Yuba
CSL,CSSC1,Yuba
SSM,SSMC1,Yuba
SCN,SCEC1,American
LOS,LLSC1,American
CXS,CXSC1,American
CAP,CPSC1,American
ALP,APHC1,American
FRN,FOIC1,American
SIL,SILC1,American
VVL,VNVC1,American
HYS,HYSC1,American
RBB,RBSC1,American
GKS,GKSC1,American
BLC,BCYC1,American
RBP,POLC1,American
HHM,HHMC1,Mokelumne
BLK,BLAC1,Mokelumne
BLD,BLCC1,Stanislaus
BLS,BLSC1,Stanislaus
DDM,DDMC1,Stanislaus
GNL,GNLC1,Stanislaus
REL,RELC1,Stanislaus
SLM,SLMC1,Stanislaus
DAN,TIOC1,Tuolumne
SLI,SLIC1,Tuolumne
TUM,TUMC1,Tuolumne
HRS,HRSC1,Tuolumne
WHW,WWRC1,Tuolumne
PDS,PDSC1,Tuolumne
GIN,GINC1,Tuolumne
KIB,KIBC1,Tuolumne
STR,OSTC1,Merced
TNY,TYLC1,Merced
VLC,VKOC1,San Joaquin
AGP,AGPC1,San Joaquin
KSP,KSPC1,San Joaquin
GRM,GRMC1,San Joaquin
DPO,DPPC1,San Joaquin
TMR,TMRC1,San Joaquin
CHM,CHMC1,San Joaquin
HNT,HNTC1,San Joaquin
GRV,GVYC1,San Joaquin
PSR,POSC1,San Joaquin
BSH,BSHC1,Kings
CRL,CRLC1,Kings
STL,STZC1,Kings
BCB,BCBC1,Kings
MTM,MITC1,Kings
UBC,UBCC1,Kings
WWC,WCKC1,Kings
BIM,BIMC1,Kings
FRW,FGPC1,Kaweah
QUA,QUAC1,Kaweah
GNF,GNFC1,Kaweah
UTY,UTYC1,Kern
CBT,CBTC1,Kern
CHP,CHPC1,Kern
PSC,PSCC1,Kern
WTM,WEMC1,Kern
TUN,TUNC1,Kern
CSV,CVMC1,Kern
BCH,BCHC1,Kern
DSS,DMLC1,Surprise
BMW,BIMC1,Truckee
IDP,ILKC1,Truckee
SQV,SQWC1,Truckee
IDC,ICPC1,Truckee
INN,ICKC1,Truckee
TK2,TRUC1,Truckee
MSK,MRSN2,Tahoe
HVN,HVNC1,Tahoe
HGM,HGNC1,Tahoe
MRL,MRLN2,Tahoe
EP5,ECOC1,Tahoe
RP2,RUBC1,Tahoe
TCC,THOC1,Tahoe
WC3,WRDC1,Tahoe
FLL,FLFC1,Tahoe
EBB,EBTC1,Carson
HOR,HORC1,Carson
MNT,MNPC1,Carson
BSK,BSKC1,Carson
FDC,FDCC1,Carson
PSN,XXXC1,Carson
SPT,SPCC1,Carson
LVT,LELC1,Walker
SDW,SDWC1,Walker
VRG,VGAC1,Walker
LBD,LOBC1,Walker
SPS,SRAC1,Walker
LVM,LVTC1,Walker
GEM,JEMC1,Owens
SWM,SAWC1,Owens
CWD,CWDC1,Owens
BGP,BGPC1,Owens
RCK,RKKC1,Owens
SLK,SOUC1,Owens
MHP,MAMC1,Owens